Reference,Date,Year,Month,Day,Day,Time,Severity,Road_Class,Main_rd_no,Junction Detail,Light,Weather,Surface,Speed_limit,Cycle,TWMV,Child,Child_Pedestrian,Ped,Skid,HGV,LGV,PSV,School Journey,,Pedestrian-1_Sex,Pedestrian_1_Age,Pedestrian_1_Severity,Pedestria_1_Location,Pedestrian-1_Movement,Pedestrian_1_Mov_To,Location,Number_Vehicles,Vehicle_1_Type,Vehicle_1_Manouvres,Vehicle_1_From_Direction,Vehicle_1_To_Direction,Vehicle_1_Location,Vehicle_1_Skidding,Vehicle_2_Type,Vehicle_2_Manouvres,Vehicle_2_From_Direction,Vehicle_2_To_Direction,Vehicle_2_Location,Vehicle_ 2_Skidding,Vehicle_3_Type,V3_Manouvres,V3_From_Direction,V3_To_Direction,V3_Location,V3_Skidding,Easting,Northing
2016,20160106,2016,1,6,Wednesday,725,Slight,A,14,Slip road,Dark,Fine (no wind),Wet/damp,70,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A14 EASTBOUND JUNCTION DRY DRAYTON RD CAMBRIDGE,2,Car,Going ahead,N,SE,Entering main road,Did not skid,Car,Waiting to go ahd but held up,NW,SE,Mid jnctn - on rbout or main road,Did not skid,,,,,,,539615.1862,263046.6829
2114,20140108,2014,1,8,Wednesday,1700,Serious,A,15,Not at junction,Dark,Rain (no wind),Wet/damp,60,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,A15 LONDON RD 300M SOUTH OF PHORPRES WAY PETERBOROUGH,3,Car,Ovrtking statny veh on offsde,N,S,"Not at,or within 20m of, junction",Did not skid,Pedal cycle,Going ahead,N,S,"Not at,or within 20m of, junction",Did not skid,Pedal cycle,Going ahead,S,N,"Not at,or within 20m of, junction",Did not skid,518522.3493,295214.475
2115,20150104,2015,1,4,Sunday,851,Slight,A,1303,Uncoded junction,Day,Fog/mist,Frost/Ice,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A1303 NEWMARKET RD BOTTISHAM,1,Car,Going ahead right hand bend,NE,W,Approaching jnctn or waiting/parked,Skidded,,,,,,,,,,,,,557908.6599,260077.8128
2116,20160106,2016,1,6,Wednesday,1830,Slight,U,0,'T'/staggered junctn,Dark,Fine (no wind),Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,DOLPHIN WAY JUNCTION PRIAMS WAY STAPLEFORD,2,Car,Turning left,Parked,Parked,Mid jnctn - on rbout or main road,Did not skid,Pedal cycle,Turning right,Parked,Parked,Mid jnctn - on rbout or main road,Did not skid,,,,,,,546837.5629,251899.5338
2214,20140108,2014,1,8,Wednesday,1930,Slight,C,233,'T'/staggered junctn,Dark,Fine (no wind),Wet/damp,30,N,Y,N,N,N,Y,N,N,N,N,0,,0,,,,,QUEEN EDITHS WAY JUNCTION LIMEKILN RD CAMBRIDGE,2,Car,Turning left,S,SW,Entering main road,Did not skid,Motorcycle <=50cc,Going ahead,NE,SW,Approaching jnctn or waiting/parked,Skidded,,,,,,,548454.2874,256084.2459
2215,20150106,2015,1,6,Tuesday,1505,Slight,B,645,Not at junction,Day,Fine (no wind),Wet/damp,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,B645 GREAT STAUGHTON,1,Car,Going ahead right hand bend,W,SE,"Not at,or within 20m of, junction",Skidded/ovrtn,,,,,,,,,,,,,514792.2919,263800.0973
2216,20160107,2016,1,7,Thursday,1322,Serious,U,0,'T'/staggered junctn,Day,Rain (no wind),Wet/damp,20,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,DOWNING ST JUNCTION TENNIS COURT CAMBRIDGE,2,Pedal cycle,Going ahead,NE,SW,Mid jnctn - on rbout or main road,Did not skid,Car,Turning right,SE,NE,Entering main road,Did not skid,,,,,,,545017.5811,258192.3125
2314,20140109,2014,1,9,Thursday,945,Serious,A,10,Not at junction,Day,Fine & windy,Wet/damp,60,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,A10 CAMBRIDGE RD 800M SOUTH OF A1123 WILBURTON RD STRETHAM,1,Motorcycle >125 <=50,Going ahead,N,S,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,550571.6109,273690.916
2315,20150106,2015,1,6,Tuesday,1350,Serious,U,0,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,OXNEY RD JUNCTION SAINSBURY PETERBOROUGH,2,Car,Turning right,S,E,Entering main road,Did not skid,Car,Going ahead,E,W,Mid jnctn - on rbout or main road,Did not skid,,,,,,,521075.383,300447.3571
2316,20160107,2016,1,7,Thursday,920,Slight,A,1307,Not at junction,Day,Rain (no wind),Wet/damp,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,A1307 HILLS RD 20M N OF WORTS CAUSEWAY CAMBRIDGE,3,Car,Waiting to go ahd but held up,SE,NW,"Not at,or within 20m of, junction",Did not skid,Car,Slow or stopping,NW,SE,"Not at,or within 20m of, junction",Did not skid,Motorcycle >50 <= 12,Ovrtking statny veh on offsde,SE,NW,"Not at,or within 20m of, junction",Did not skid,546986.1884,255087.7511
