Easting,Northing,n,n_serious,locations
547875.0009,259324.9999,29,6,A1134 NEWMARKET RD JUNCTION A1134 BARNWELL RD CAMBRIDGE
519375.0009,299474.9999,23,3,NENE RDABT JNCT PARK RD JUNCTION BURGHLEY RD PETERBOROUGH
545125.0009,257624.9999,19,3,A603 LENSFIELD RD JUNCTION A1134 TRUMPINGTON ST CAMBRIDGE
544375.0009,258974.9999,17,3,A1134 NORTHAMPTON ST JUNCTION A1303 MADINGLEY RD CAMBRIDGE
521375.0009,301524.9999,16,2,A1139 EYE ROUNDABOUT A15 PETERBOROUGH
520575.0009,299024.9999,15,0,BOONGATE FRANK PERKINS PARKWAY A1139
545125.0009,257574.9999,15,1,A1134 TRUMPINGTON RD JUNCTION A1134 FEN CAUSEWAY CAMBRIDGE
546225.0009,309924.9999,15,2,A1101 CHURCHIL RD JUNCTION B198 LYNN RD WISBECH
530275.0009,269024.9999,14,3,A1096 GALLEY HILL JUNCTION A14 EASTBOUND ON SLIP ST IVES
545475.0009,257824.9999,14,0,A603 HILLS RD JUNCTION A1307 GONVILLE PLACE CAMBRIDGE
545725.0009,258174.9999,14,1,A603 EAST RD JUNCTION C293 PARKSIDE CAMBRIDGE
533375.0009,275274.9999,13,0,B1040 AT JN WITH WHEATSHEAF ROAD
545125.0009,257674.9999,13,3,A603 LENSFIELD RD JUNCTION TRUMPINGTON RD CAMBRIDGE
545875.0009,258374.9999,13,2,A603 EAST RD JUNCTION DOVER STREET CAMBRIDGE
547025.0009,255624.9999,13,2,A1134 MOWBRAY RD JUNCTION A1134 QUEEN EDITHS WAY CAMBRIDGE
545775.0009,260024.9999,12,1,A1134 ELIZABETH WAY 20M SOUTH OF MILTON RD CAMBRIDGE
518875.0009,300274.9999,11,0,LINCOLN RD JUNCTION ALMA RD OUTSIDE 317
546325.0009,257824.9999,11,2,C280 DEVONSHIRE RD JUNCTION MILL RD CAMBRIDGE
