Easting,Northing,n
547875.0009,259324.9999,29
519375.0009,299474.9999,23
545125.0009,257624.9999,19
544375.0009,258974.9999,17
521375.0009,301524.9999,16
520575.0009,299024.9999,15
545125.0009,257574.9999,15
546225.0009,309924.9999,15
530275.0009,269024.9999,14
545475.0009,257824.9999,14
545725.0009,258174.9999,14
533375.0009,275274.9999,13
545125.0009,257674.9999,13
545875.0009,258374.9999,13
547025.0009,255624.9999,13
545775.0009,260024.9999,12
518875.0009,300274.9999,11
546325.0009,257824.9999,11
547275.0009,256474.9999,11
519425.0009,299324.9999,10
519725.0009,299074.9999,10
545925.0009,259724.9999,10
547225.0009,256474.9999,10
547625.0009,258024.9999,10
517325.0009,301224.9999,9
518075.0009,295724.9999,9
518475.0009,299824.9999,9
518725.0009,299074.9999,9
519225.0009,298374.9999,9
544625.0009,291174.9999,9
545275.0009,259474.9999,9
545475.0009,257774.9999,9
546125.0009,257924.9999,9
551625.0009,250674.9999,9
559125.0009,260474.9999,9
506625.0009,299674.9999,8
515625.0009,298624.9999,8
517725.0009,295724.9999,8
519025.0009,299774.9999,8
519475.0009,299974.9999,8
519675.0009,299774.9999,8
520025.0009,297074.9999,8
520475.0009,299124.9999,8
529675.0009,260674.9999,8
531975.0009,259524.9999,8
544325.0009,259974.9999,8
545025.0009,258174.9999,8
545275.0009,256924.9999,8
548825.0009,253474.9999,8
552475.0009,249874.9999,8
509025.0009,299574.9999,7
515625.0009,298474.9999,7
518125.0009,295724.9999,7
518875.0009,298674.9999,7
518925.0009,301224.9999,7
519125.0009,298874.9999,7
519225.0009,299524.9999,7
520525.0009,300474.9999,7
521325.0009,301574.9999,7
525925.0009,276074.9999,7
527025.0009,272624.9999,7
527225.0009,260024.9999,7
527325.0009,297124.9999,7
531525.0009,271174.9999,7
539625.0009,301124.9999,7
540425.0009,296674.9999,7
544375.0009,260274.9999,7
544825.0009,258074.9999,7
544825.0009,258124.9999,7
545425.0009,259524.9999,7
545575.0009,257624.9999,7
545625.0009,259924.9999,7
545775.0009,257324.9999,7
545875.0009,260224.9999,7
545925.0009,258474.9999,7
546175.0009,252574.9999,7
546175.0009,258824.9999,7
546375.0009,309724.9999,7
546575.0009,255574.9999,7
546825.0009,308524.9999,7
547775.0009,263374.9999,7
551475.0009,259574.9999,7
554175.0009,279774.9999,7
554925.0009,247524.9999,7
514025.0009,294174.9999,6
514575.0009,305774.9999,6
515675.0009,298474.9999,6
517325.0009,304274.9999,6
517625.0009,301724.9999,6
517775.0009,295524.9999,6
517825.0009,301374.9999,6
517925.0009,299774.9999,6
518175.0009,297524.9999,6
518375.0009,297674.9999,6
518675.0009,264824.9999,6
518725.0009,300424.9999,6
518775.0009,300424.9999,6
518925.0009,299124.9999,6
519025.0009,299824.9999,6
519075.0009,299574.9999,6
519225.0009,301274.9999,6
519275.0009,298974.9999,6
519525.0009,299824.9999,6
519575.0009,298524.9999,6
519675.0009,299074.9999,6
519675.0009,299124.9999,6
519725.0009,299124.9999,6
519725.0009,299174.9999,6
519925.0009,302224.9999,6
520025.0009,302224.9999,6
520725.0009,279724.9999,6
521425.0009,301574.9999,6
523875.0009,274374.9999,6
528525.0009,264324.9999,6
529025.0009,282674.9999,6
531625.0009,304424.9999,6
531975.0009,272124.9999,6
540275.0009,308374.9999,6
541675.0009,296624.9999,6
541675.0009,296774.9999,6
544575.0009,254774.9999,6
544575.0009,254874.9999,6
544575.0009,257974.9999,6
544725.0009,307424.9999,6
544975.0009,259324.9999,6
545425.0009,258774.9999,6
545475.0009,258774.9999,6
545625.0009,257624.9999,6
545675.0009,257524.9999,6
545825.0009,257274.9999,6
545825.0009,258124.9999,6
545925.0009,257074.9999,6
546075.0009,258674.9999,6
546075.0009,260424.9999,6
546625.0009,257674.9999,6
546725.0009,256574.9999,6
546975.0009,262124.9999,6
547025.0009,258624.9999,6
547125.0009,257574.9999,6
547375.0009,256424.9999,6
547425.0009,257424.9999,6
547575.0009,258024.9999,6
548725.0009,265924.9999,6
548825.0009,264974.9999,6
502375.0009,305624.9999,5
515375.0009,298474.9999,5
515525.0009,294674.9999,5
515675.0009,298524.9999,5
516075.0009,301974.9999,5
516525.0009,297474.9999,5
516825.0009,297074.9999,5
516975.0009,296924.9999,5
517275.0009,301274.9999,5
517275.0009,302074.9999,5
517675.0009,299674.9999,5
518025.0009,297474.9999,5
518075.0009,299774.9999,5
518425.0009,299824.9999,5
518475.0009,299874.9999,5
518525.0009,259024.9999,5
518525.0009,260324.9999,5
518725.0009,299124.9999,5
518825.0009,298724.9999,5
518825.0009,300374.9999,5
518875.0009,298774.9999,5
518875.0009,299874.9999,5
518925.0009,265724.9999,5
519275.0009,298124.9999,5
519325.0009,298374.9999,5
519325.0009,300474.9999,5
519375.0009,299424.9999,5
519425.0009,299374.9999,5
519425.0009,299574.9999,5
519475.0009,257924.9999,5
519525.0009,271924.9999,5
519775.0009,299824.9999,5
519975.0009,302224.9999,5
520025.0009,302324.9999,5
520225.0009,296424.9999,5
520375.0009,298824.9999,5
520575.0009,299124.9999,5
521375.0009,301674.9999,5
522425.0009,272674.9999,5
522925.0009,303124.9999,5
523675.0009,271824.9999,5
524475.0009,262524.9999,5
525675.0009,303724.9999,5
528275.0009,284124.9999,5
528575.0009,285174.9999,5
529625.0009,260724.9999,5
531725.0009,271274.9999,5
532175.0009,267924.9999,5
533125.0009,255724.9999,5
535675.0009,265774.9999,5
536975.0009,308474.9999,5
